Sample ID	block	run	treatment	fauna	rank	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	0_nb	1_nb	2_nb	3_nb	4_nb	5_nb	germinated_perc	germ_perc_deep	0_germ_perc	1_germ_perc	germ_perc_1-6	2_germ_perc	3_germ_perc	4_germ_perc	5_germ_perc	germ_depth	germ_nb	0_germ_nb	1_germ_nb	2_germ_nb	3_germ_nb	4_germ_nb	5_germ_nb	GERM	DEEPNO	X1NO
1.1.1	.1	1	2 shrimp - control temp	SHRIMP	3	COLD	0	2	0	6	0.5	0	6	0	0	0	0	0	0		0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.1.2	.1	1	worms  - control temp	WORM	4	COLD	0	0	3	6	0.5	0	6	0	0	0	0	0	0		0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.1.3	.1	1	fauna mix - control temp	MIX	5	COLD	1	0	0	6	0.75	1	3	2	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.1.4	.1	1	2 cockles - control temp	COCKLE	2	COLD	2	0	0	9	1	0	8	0	0	0	1	0.111111111	0.111111111		0.125	0				0	0.5	1	0	1	0	0	0	0	0.11	TRUE	TRUE
1.1.5	.1	1	no fauna-control temp	NO	1	COLD	0	0	0	11	0.454545455	3	7	1	0	0	0	0.272727273	0.25	0.333333333	0.142857143	1	1				0.666666667	3	1	1	1	0	0	0	0.27	TRUE	TRUE
1.10.1	10	1	fauna mix - warming	MIX	5	WARM	1	0	1	8	0.3125	3	5	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.10.2	10	1	2 shrimp - warming	SHRIMP	3	WARM	0	0	1	12	0.375	3	9	0	0	0	0	0.142857143	0	0.333333333	0						0	1	1	0	0	0	0	0	0.08	TRUE	TRUE
1.10.3	10	1	worms  - warming	WORM	4	WARM	0	0	9	11	0.227272727	6	5	0	0	0	0	0.142857143	0	0.5	0						0	1	1	0	0	0	0	0	0.09	TRUE	TRUE
1.10.4	10	1	2 cockles - warming	COCKLE	2	WARM	2	0	0	10	0.4	2	8	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.10.5	10	1	no fauna - warming	NO	1	WARM	0	0	0	8	0.125	6	2	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	FALSE	FALSE
1.11.1	11	1	fauna mix - warming	MIX	5	WARM	1	0	0	9	0.166666667	6	3	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.11.2	11	1	no fauna - warming	NO	1	WARM	0	0	0	8	0.3125	3	5	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.11.3	11	1	2 cockles - warming	COCKLE	2	WARM	2	0	0	10	0.3	4	6	0	0	0	0	0.125	0	0.333333333	0						0	1	1	0	0	0	0	0	0.10	TRUE	TRUE
1.11.4	11	1	no fauna - warming	NO	1	WARM	0	0	0	11	0.181818182	7	4	0	0	0	0	0.142857143	0	0.2	0						0	1	1	0	0	0	0	0	0.09	TRUE	TRUE
1.11.5	11	1	2 shrimp - warming	SHRIMP	3	WARM	0	0	1	9	0	9	0	0	0	0	0	0		0								0	0	0	0	0	0	0	0.00	FALSE	FALSE
1.12.1	12	1	fauna mix - warming	MIX	5	WARM	1	0	0	2	0.5	0	2	0	0	0	0											0	0	0	0	0	0	0	0.00	FALSE	FALSE
1.12.2	12	1	2 shrimp - warming	SHRIMP	3	WARM	0	0	0	8	0.125	6	2	0	0	0	0	0.166666667	1	0	1						0.5	1	0	1	0	0	0	0	0.13	FALSE	FALSE
1.12.3	12	1	2 cockles - warming	COCKLE	2	WARM	2	0	0	8	0	8	0	0	0	0	0	0.285714286		0.285714286							0	2	2	0	0	0	0	0	0.25	FALSE	FALSE
1.12.4	12	1	worms  - warming	WORM	4	WARM	0	0	8	9	0.555555556	1	7	1	0	0	0	0.222222222	0.125	1	0.142857143	0	0				0.25	2	1	1	0	0	0	0	0.22	TRUE	TRUE
1.12.5	12	1	no fauna - warming	NO	1	WARM	0	0	1	9	1.555555556	2	1	4	1	0	1	0.166666667	0	0.5	0	0	0			0	0	1	1	0	0	0	0	0	0.13	TRUE	FALSE
1.13.1	13	1	2 shrimp - warming	SHRIMP	3	WARM	0	1	0	12	0.291666667	5	7	0	0	0	0	0.25	0	0.333333333	0						0	1	1	0	0	0	0	0	0.08	TRUE	TRUE
1.13.2	13	1	fauna mix - warming	MIX	5	WARM	1	0	11	12	0.416666667	2	10	0	0	0	0	0.285714286	0.285714286		0.285714286						0.5	2	0	2	0	0	0	0	0.17	TRUE	TRUE
1.13.3	13	1	2 cockles - warming	COCKLE	2	WARM	2	0	0	14	0.464285714	1	13	0	0	0	0	0.142857143	0.166666667	0	0.166666667						0.5	1	0	1	0	0	0	0	0.07	TRUE	TRUE
1.13.4	13	1	worms  - warming	WORM	4	WARM	0	0	5	10	0.3	4	6	0	0	0	0	0.333333333	0.4	0.25	0.4						0.333333333	3	1	2	0	0	0	0	0.30	TRUE	TRUE
1.13.5	13	1	no fauna - warming	NO	1	WARM	0	0	5	10	0.25	5	5	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.14.1	14	1	fauna mix - warming	MIX	5	WARM	1	0	0	13	0.423076923	2	11	0	0	0	0	0.5	0.375	1	0.375						0.3	5	2	3	0	0	0	0	0.38	TRUE	TRUE
1.14.2	14	1	worms  - warming	WORM	4	WARM	0	0	0	3	0.166666667	2	1	0	0	0	0	1	1	1	1						0.25	2	1	1	0	0	0	0	0.67	FALSE	FALSE
1.14.3	14	1	no fauna - warming	NO	1	WARM	0	2	0	7	0.5	0	7	0	0	0	0	0.166666667	0.166666667		0.166666667						0.5	1	0	1	0	0	0	0	0.14	TRUE	TRUE
1.14.4	14	1	2 shrimp - warming	SHRIMP	3	WARM	0	0	0	7	0.142857143	5	2	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	FALSE	FALSE
