Sample ID	block	run	treatment	fauna	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	Germination1	value1	Germination2	value2
1.1.1	.1	1	2 shrimp - control temp	SHRIMP	COLD	0	2	0	6	0.5	0_germ_perc		0_germ_perc	
1.1.2	.1	1	worms  - control temp	WORM	COLD	0	0	3	6	0.5	0_germ_perc		0_germ_perc	
1.1.3	.1	1	fauna mix - control temp	MIX	COLD	1	0	0	6	0.75	0_germ_perc	0	0_germ_perc	0
1.1.4	.1	1	2 cockles - control temp	COCKLE	COLD	2	0	0	9	1	0_germ_perc		0_germ_perc	
1.1.5	.1	1	no fauna-control temp	NO	COLD	0	0	0	11	0.454545455	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.10.1	10	1	fauna mix - warming	MIX	WARM	1	0	1	8	0.3125	0_germ_perc	0	0_germ_perc	0
1.10.2	10	1	2 shrimp - warming	SHRIMP	WARM	0	0	1	12	0.375	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.10.3	10	1	worms  - warming	WORM	WARM	0	0	9	11	0.227272727	0_germ_perc	0.5	0_germ_perc	0.5
1.10.4	10	1	2 cockles - warming	COCKLE	WARM	2	0	0	10	0.4	0_germ_perc	0	0_germ_perc	0
1.10.5	10	1	no fauna - warming	NO	WARM	0	0	0	8	0.125	0_germ_perc	0	0_germ_perc	0
1.11.1	11	1	fauna mix - warming	MIX	WARM	1	0	0	9	0.166666667	0_germ_perc	0	0_germ_perc	0
1.11.2	11	1	no fauna - warming	NO	WARM	0	0	0	8	0.3125	0_germ_perc	0	0_germ_perc	0
1.11.3	11	1	2 cockles - warming	COCKLE	WARM	2	0	0	10	0.3	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.11.4	11	1	no fauna - warming	NO	WARM	0	0	0	11	0.181818182	0_germ_perc	0.2	0_germ_perc	0.2
1.11.5	11	1	2 shrimp - warming	SHRIMP	WARM	0	0	1	9	0	0_germ_perc	0	0_germ_perc	0
1.12.1	12	1	fauna mix - warming	MIX	WARM	1	0	0	2	0.5	0_germ_perc		0_germ_perc	
1.12.2	12	1	2 shrimp - warming	SHRIMP	WARM	0	0	0	8	0.125	0_germ_perc	0	0_germ_perc	0
1.12.3	12	1	2 cockles - warming	COCKLE	WARM	2	0	0	8	0	0_germ_perc	0.285714286	0_germ_perc	0.285714286
1.12.4	12	1	worms  - warming	WORM	WARM	0	0	8	9	0.555555556	0_germ_perc	1	0_germ_perc	1
1.12.5	12	1	no fauna - warming	NO	WARM	0	0	1	9	1.555555556	0_germ_perc	0.5	0_germ_perc	0.5
1.13.1	13	1	2 shrimp - warming	SHRIMP	WARM	0	1	0	12	0.291666667	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.13.2	13	1	fauna mix - warming	MIX	WARM	1	0	11	12	0.416666667	0_germ_perc		0_germ_perc	
1.13.3	13	1	2 cockles - warming	COCKLE	WARM	2	0	0	14	0.464285714	0_germ_perc	0	0_germ_perc	0
1.13.4	13	1	worms  - warming	WORM	WARM	0	0	5	10	0.3	0_germ_perc	0.25	0_germ_perc	0.25
1.13.5	13	1	no fauna - warming	NO	WARM	0	0	5	10	0.25	0_germ_perc	0	0_germ_perc	0
1.14.1	14	1	fauna mix - warming	MIX	WARM	1	0	0	13	0.423076923	0_germ_perc	1	0_germ_perc	1
1.14.2	14	1	worms  - warming	WORM	WARM	0	0	0	3	0.166666667	0_germ_perc	1	0_germ_perc	1
1.14.3	14	1	no fauna - warming	NO	WARM	0	2	0	7	0.5	0_germ_perc		0_germ_perc	
1.14.4	14	1	2 shrimp - warming	SHRIMP	WARM	0	0	0	7	0.142857143	0_germ_perc	0	0_germ_perc	0
1.14.5	14	1	2 cockles - warming	COCKLE	WARM	2	0	0	3	0	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.15.1	15	1	2 shrimp - warming	SHRIMP	WARM	0	1	0	9	0	0_germ_perc	0.5	0_germ_perc	0.5
1.15.2	15	1	no fauna - warming	NO	WARM	0	0	0	10	0.05	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.15.3	15	1	fauna mix - warming	MIX	WARM	1	0	0	8	0.3125	0_germ_perc	0.5	0_germ_perc	0.5
1.15.4	15	1	2 cockles - warming	COCKLE	WARM	2	0	0	8	0.25	0_germ_perc	0	0_germ_perc	0
1.15.5	15	1	no fauna - warming	NO	WARM	0	0	0	7	0.285714286	0_germ_perc	0	0_germ_perc	0
1.16.1	16	1	no fauna - warming	NO	WARM	0	0	0	7	0.214285714	0_germ_perc	0	0_germ_perc	0
1.16.2	16	1	2 cockles - warming	COCKLE	WARM	1	0	0	9	0.277777778	0_germ_perc	0	0_germ_perc	0
1.16.3	16	1	no fauna - warming	NO	WARM	0	0	0	13	0.230769231	0_germ_perc	0.166666667	0_germ_perc	0.166666667
1.16.4	16	1	fauna mix - warming	MIX	WARM	1	0	0	10	0.35	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.16.5	16	1	2 shrimp - warming	SHRIMP	WARM	0	0	0	12	0.208333333	0_germ_perc	0.166666667	0_germ_perc	0.166666667
1.2.1	.2	1	2 cockles - control temp	COCKLE	COLD	2	0	0	7	0.428571429	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.2.2	.2	1	worms  - control temp	WORM	COLD	0	0	12	8	0.6875	0_germ_perc	0.666666667	0_germ_perc	0.666666667
1.2.3	.2	1	2 shrimp - control temp	SHRIMP	COLD	0	0	0	8	0.625	0_germ_perc	0	0_germ_perc	0
1.2.4	.2	1	fauna mix - control temp	MIX	COLD	1	3	0	9	0.333333333	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.2.5	.2	1	no fauna-control temp	NO	COLD	0	0	0	8	0.25	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.3.1	.3	1	fauna mix - control temp	MIX	COLD	0	1	0	11	0.863636364	0_germ_perc	0.5	0_germ_perc	0.5
1.3.2	.3	1	no fauna-control temp	NO	COLD	0	0	4	12	0.375	0_germ_perc	0	0_germ_perc	0
1.3.3	.3	1	2 shrimp - control temp	SHRIMP	COLD	0	0	0	13	0.269230769	0_germ_perc	0.5	0_germ_perc	0.5
1.3.4	.3	1	no fauna-control temp	NO	COLD	0	0	0	10	0.25	0_germ_perc	0.25	0_germ_perc	0.25
1.3.5	.3	1	2 cockles - control temp	COCKLE	COLD	2	0	0	10	0.25	0_germ_perc	0.6	0_germ_perc	0.6
1.4.1	.4	1	2 cockles - control temp	COCKLE	COLD	2	0	6	6	1.666666667	0_germ_perc		0_germ_perc	
1.4.2	.4	1	worms  - control temp	WORM	COLD	0	0	3	9	0.444444444	0_germ_perc		0_germ_perc	
1.4.3	.4	1	no fauna-control temp	NO	COLD	0	0	1	9	0.333333333	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.4.4	.4	1	fauna mix - control temp	MIX	COLD	1	1	4	9	0.555555556	0_germ_perc	0	0_germ_perc	0
1.4.5	.4	1	2 shrimp - control temp	SHRIMP	COLD	0	1	4	7	0.357142857	0_germ_perc	0	0_germ_perc	0
1.5.1	.5	1	2 cockles - control temp	COCKLE	COLD	2	0	0	11	0.363636364	0_germ_perc	0.666666667	0_germ_perc	0.666666667
1.5.2	.5	1	worms  - control temp	WORM	COLD	0	0	0	6	0.25	0_germ_perc	0	0_germ_perc	0
1.5.3	.5	1	no fauna-control temp	NO	COLD	0	0	0	7	0.142857143	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.5.4	.5	1	2 shrimp - control temp	SHRIMP	COLD	0	1	0	8	0.1875	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.5.5	.5	1	fauna mix - control temp	MIX	COLD	1	1	0	5	0.3	0_germ_perc	0	0_germ_perc	0
1.6.1	.6	1	2 cockles - control temp	COCKLE	COLD	2	0	1	12	0.583333333	0_germ_perc		0_germ_perc	
1.6.2	.6	1	no fauna-control temp	NO	COLD	0	0	0	11	0.454545455	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.6.3	.6	1	fauna mix - control temp	MIX	COLD	1	3	0	9	0.333333333	0_germ_perc	0	0_germ_perc	0
1.6.4	.6	1	2 shrimp - control temp	SHRIMP	COLD	0	0	0	7	0.071428571	0_germ_perc	0.25	0_germ_perc	0.25
1.6.5	.6	1	worms  - control temp	WORM	COLD	0	0	2	9	0.166666667	0_germ_perc	0	0_germ_perc	0
1.7.1	.7	1	worms  - control temp	WORM	COLD	0	0	2	6	0.583333333	0_germ_perc		0_germ_perc	
